2026-04-18 21:15:04 | memory | default_trace_id | INFO | {"event_id": "abea346f-4f7e-4f72-b72f-433d78be6e7f", "event_type": "memory_init", "log_level": "INFO", "timestamp": "2026-04-18T21:15:04.117375+08:00", "module_type": "memory", "module_id": "memory", "module_name": "memory", "status": "success", "message": "Starting kv store migration", "metadata": {}}
2026-04-18 21:15:04 | memory | default_trace_id | INFO | {"event_id": "0ee98cd6-a27f-4090-aee5-4fd77903426d", "event_type": "memory_init", "log_level": "INFO", "timestamp": "2026-04-18T21:15:04.118028+08:00", "module_type": "memory", "module_id": "memory", "module_name": "memory", "status": "success", "message": "No kv store migrations registered, skipping migration process", "metadata": {}}
2026-04-18 21:15:04 | memory | default_trace_id | INFO | {"event_id": "7e7d15f4-431e-4707-8fe6-9b50c985667b", "event_type": "memory_init", "log_level": "INFO", "timestamp": "2026-04-18T21:15:04.118775+08:00", "module_type": "memory", "module_id": "memory", "module_name": "memory", "status": "success", "message": "kv store migration completed successfully", "metadata": {}}
2026-04-18 21:15:04 | memory | default_trace_id | INFO | {"event_id": "1de1676e-a6cd-4e4d-b317-31fd1d70fecf", "event_type": "memory_init", "log_level": "INFO", "timestamp": "2026-04-18T21:15:04.119221+08:00", "module_type": "memory", "module_id": "memory", "module_name": "memory", "status": "success", "message": "Starting vector store migration", "metadata": {}}
2026-04-18 21:15:04 | memory | default_trace_id | INFO | {"event_id": "8cdb759c-4697-4831-9d55-d06deb68e8fa", "event_type": "memory_init", "log_level": "INFO", "timestamp": "2026-04-18T21:15:04.119690+08:00", "module_type": "memory", "module_id": "memory", "module_name": "memory", "status": "success", "message": "No vector store migrations registered, skipping migration process", "metadata": {}}
2026-04-18 21:15:04 | memory | default_trace_id | INFO | {"event_id": "710d1893-e348-48f5-adde-aea7355803ae", "event_type": "memory_init", "log_level": "INFO", "timestamp": "2026-04-18T21:15:04.120005+08:00", "module_type": "memory", "module_id": "memory", "module_name": "memory", "status": "success", "message": "vector store migration completed successfully", "metadata": {}}
2026-04-18 21:15:04 | memory | default_trace_id | INFO | {"event_id": "679582ee-1862-448b-97bc-7a54f3212ffa", "event_type": "memory_init", "log_level": "INFO", "timestamp": "2026-04-18T21:15:04.120292+08:00", "module_type": "memory", "module_id": "memory", "module_name": "memory", "status": "success", "message": "Starting db store migration", "metadata": {}}
2026-04-18 21:15:04 | memory | default_trace_id | INFO | {"event_id": "d3ddf4f2-c401-41f6-8e65-a7be2d1fc868", "event_type": "memory_init", "log_level": "INFO", "timestamp": "2026-04-18T21:15:04.120748+08:00", "module_type": "memory", "module_id": "memory", "module_name": "memory", "status": "success", "message": "No db store migrations registered, skipping migration process", "metadata": {}}
2026-04-18 21:15:04 | memory | default_trace_id | INFO | {"event_id": "c54844e6-5922-4b39-8f51-c986b58e257e", "event_type": "memory_init", "log_level": "INFO", "timestamp": "2026-04-18T21:15:04.121168+08:00", "module_type": "memory", "module_id": "memory", "module_name": "memory", "status": "success", "message": "db store migration completed successfully", "metadata": {}}
2026-04-18 21:15:04 | memory | default_trace_id | INFO | PromptApplier singleton initialized
2026-04-18 21:15:04 | memory | default_trace_id | INFO | Loaded and cached prompt template: memory_analysis_prompt
2026-04-18 21:15:12 | memory | default_trace_id | INFO | Loaded and cached prompt template: fragment_memory_prompt
