2026-04-19 11:30:38 | graph | default_trace_id | INFO | {"event_id": "5ff6f9d5-4582-44f6-9c3e-fc95c136658b", "event_type": "graph_vertex_init", "log_level": "INFO", "timestamp": "2026-04-19T11:30:38.120875+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Initialized node [start], abilities is ['invoke']", "metadata": {}, "graph_id": "weather_flow", "node_id": "start"}
2026-04-19 11:30:38 | graph | default_trace_id | INFO | {"event_id": "474107f6-c97b-4547-8b81-68cc5c0c131a", "event_type": "graph_vertex_init", "log_level": "INFO", "timestamp": "2026-04-19T11:30:38.121697+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Initialized node [questioner], abilities is ['invoke']", "metadata": {}, "graph_id": "weather_flow", "node_id": "questioner"}
2026-04-19 11:30:38 | graph | default_trace_id | INFO | {"event_id": "3db0d90c-59c0-4762-9975-4ba00820c158", "event_type": "graph_vertex_init", "log_level": "INFO", "timestamp": "2026-04-19T11:30:38.122985+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Initialized node [end], abilities is ['invoke']", "metadata": {}, "graph_id": "weather_flow", "node_id": "end"}
2026-04-19 11:30:38 | graph | default_trace_id | INFO | {"event_id": "57538dc6-a320-4211-b11d-9a92353b6d55", "event_type": "graph_start", "log_level": "INFO", "timestamp": "2026-04-19T11:30:38.125172+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "session_id": "demo-jump-recovery-001", "status": "success", "message": "Pregel graph engine execution started", "metadata": {"is_top_level": true}, "graph_id": "weather_flow"}
2026-04-19 11:30:38 | graph | default_trace_id | INFO | {"event_id": "abf09a9e-41b1-47f8-993b-2045ba0ed997", "event_type": "graph_vertex_call_start", "log_level": "INFO", "timestamp": "2026-04-19T11:30:38.128724+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Begin to call batch-in node [start]", "metadata": {}, "graph_id": "weather_flow", "node_id": "start"}
2026-04-19 11:30:38 | graph | default_trace_id | INFO | {"event_id": "f9466e2a-9b31-4f69-92d1-17c95d07db64", "event_type": "graph_vertex_ability_start", "log_level": "INFO", "timestamp": "2026-04-19T11:30:38.129625+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Begin to call node [start] ability [invoke]", "metadata": {}, "graph_id": "weather_flow", "node_id": "start"}
2026-04-19 11:30:38 | graph | default_trace_id | INFO | {"event_id": "5bf29696-05db-492c-9b9b-46cbb4b1c339", "event_type": "graph_vertex_ability_end", "log_level": "INFO", "timestamp": "2026-04-19T11:30:38.132604+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Succeed to call node [start] ability [invoke]", "metadata": {}, "graph_id": "weather_flow", "node_id": "start"}
2026-04-19 11:30:38 | graph | default_trace_id | INFO | {"event_id": "6a761639-09e6-49af-8ae1-f2ca0f791c63", "event_type": "graph_vertex_call_end", "log_level": "INFO", "timestamp": "2026-04-19T11:30:38.134073+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Succeed to call batch-in node [start]", "metadata": {}, "graph_id": "weather_flow", "node_id": "start"}
2026-04-19 11:30:38 | graph | default_trace_id | INFO | {"event_id": "2aa2c03b-cf25-49fa-ad2a-e717fdb37b0d", "event_type": "graph_vertex_call_start", "log_level": "INFO", "timestamp": "2026-04-19T11:30:38.136017+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Begin to call batch-in node [questioner]", "metadata": {}, "graph_id": "weather_flow", "node_id": "questioner"}
2026-04-19 11:30:38 | graph | default_trace_id | INFO | {"event_id": "a5ed0fd9-f02f-4846-9bf9-b9090bdaa47e", "event_type": "graph_vertex_ability_start", "log_level": "INFO", "timestamp": "2026-04-19T11:30:38.136589+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Begin to call node [questioner] ability [invoke]", "metadata": {}, "graph_id": "weather_flow", "node_id": "questioner"}
2026-04-19 11:30:38 | graph | default_trace_id | INFO | {"event_id": "ba02ebb2-b6ad-490e-83eb-07f2b92ee72c", "event_type": "graph_vertex_ability_end", "log_level": "INFO", "timestamp": "2026-04-19T11:30:38.140542+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Interrupt to call node [questioner] ability [invoke]", "metadata": {}, "graph_id": "weather_flow", "node_id": "questioner"}
