2026-04-17 18:49:09 | workflow | default_trace_id | INFO | {"event_id": "fe71b0fc-5060-4d43-ae64-9b4b5bd5c0f4", "event_type": "workflow_execute_start", "log_level": "INFO", "timestamp": "2026-04-17T18:49:09.244035+08:00", "module_type": "workflow", "module_id": "workflow", "module_name": "workflow", "status": "success", "message": "Begin to run workflow stream", "metadata": {}, "workflow_id": "weather_flow", "workflow_name": "天气查询", "inputs": {"query": "查询天气"}}
2026-04-17 18:49:09 | workflow | default_trace_id | INFO | {"event_id": "c997fd65-b24c-4166-b40c-3e0bfef047fa", "event_type": "workflow_component_start", "log_level": "INFO", "timestamp": "2026-04-17T18:49:09.264074+08:00", "module_type": "workflow", "module_id": "workflow", "module_name": "workflow", "status": "success", "message": "Questioner LLM extraction started", "metadata": {"has_inputs": true, "input_count": 2, "sensitive_mode": false}, "component_type_str": "QuestionerComponent"}
2026-04-17 18:53:09 | workflow | default_trace_id | INFO | {"event_id": "1618fe07-6cb5-4fe7-956b-42af706d0f4c", "event_type": "workflow_component_end", "log_level": "INFO", "timestamp": "2026-04-17T18:53:09.586096+08:00", "module_type": "workflow", "module_id": "workflow", "module_name": "workflow", "status": "success", "message": "Questioner LLM extraction completed", "metadata": {"has_response": true, "response_length": 34, "sensitive_mode": false}, "component_type_str": "QuestionerComponent"}
2026-04-17 18:53:09 | workflow | default_trace_id | INFO | {"event_id": "292680c6-5208-4ad6-8dda-72bd6732f0c6", "event_type": "workflow_execute_end", "log_level": "INFO", "timestamp": "2026-04-17T18:53:09.599247+08:00", "module_type": "workflow", "module_id": "workflow", "module_name": "workflow", "status": "success", "message": "Succeed to run workflow stream", "metadata": {"total_chunks": 1}, "workflow_id": "weather_flow", "workflow_name": "天气查询"}
2026-04-17 18:53:30 | workflow | default_trace_id | INFO | {"event_id": "f0c6da85-4f1c-4313-b060-1d65a7bbaa3e", "event_type": "workflow_execute_start", "log_level": "INFO", "timestamp": "2026-04-17T18:53:30.917075+08:00", "module_type": "workflow", "module_id": "workflow", "module_name": "workflow", "status": "success", "message": "Begin to run workflow stream", "metadata": {}, "workflow_id": "stock_flow", "workflow_name": "股票查询", "inputs": {"query": "查看股票"}}
2026-04-17 18:53:30 | workflow | default_trace_id | INFO | {"event_id": "c3b1d77b-ee2f-4ed1-9377-b82e64797b64", "event_type": "workflow_component_start", "log_level": "INFO", "timestamp": "2026-04-17T18:53:30.928554+08:00", "module_type": "workflow", "module_id": "workflow", "module_name": "workflow", "status": "success", "message": "Questioner LLM extraction started", "metadata": {"has_inputs": true, "input_count": 2, "sensitive_mode": false}, "component_type_str": "QuestionerComponent"}
2026-04-17 18:57:31 | workflow | default_trace_id | INFO | {"event_id": "f7fe39bd-a4d1-4208-ac74-6f660cdbdd5f", "event_type": "workflow_component_end", "log_level": "INFO", "timestamp": "2026-04-17T18:57:31.760764+08:00", "module_type": "workflow", "module_id": "workflow", "module_name": "workflow", "status": "success", "message": "Questioner LLM extraction completed", "metadata": {"has_response": true, "response_length": 36, "sensitive_mode": false}, "component_type_str": "QuestionerComponent"}
2026-04-17 18:57:31 | workflow | default_trace_id | INFO | {"event_id": "34491856-9745-498c-ba5f-ea2a10ea94ab", "event_type": "workflow_execute_end", "log_level": "INFO", "timestamp": "2026-04-17T18:57:31.766457+08:00", "module_type": "workflow", "module_id": "workflow", "module_name": "workflow", "status": "success", "message": "Succeed to run workflow stream", "metadata": {"total_chunks": 1}, "workflow_id": "stock_flow", "workflow_name": "股票查询"}
2026-04-17 18:57:51 | workflow | default_trace_id | INFO | {"event_id": "e9e2ecce-60ba-4482-8675-23d8b4fb5d60", "event_type": "workflow_execute_start", "log_level": "INFO", "timestamp": "2026-04-17T18:57:51.223787+08:00", "module_type": "workflow", "module_id": "workflow", "module_name": "workflow", "status": "success", "message": "Begin to run workflow stream", "metadata": {}, "workflow_id": "weather_flow", "workflow_name": "天气查询", "inputs": "user_inputs={'questioner': '查询北京天气'} raw_inputs=None"}
2026-04-17 18:57:51 | workflow | default_trace_id | INFO | {"event_id": "7f67c3ee-e0e6-4ae4-9b94-44d6d60d8291", "event_type": "workflow_component_start", "log_level": "INFO", "timestamp": "2026-04-17T18:57:51.241522+08:00", "module_type": "workflow", "module_id": "workflow", "module_name": "workflow", "status": "success", "message": "Questioner LLM extraction started", "metadata": {"has_inputs": true, "input_count": 2, "sensitive_mode": false}, "component_type_str": "QuestionerComponent"}
2026-04-17 18:58:11 | workflow | default_trace_id | INFO | {"event_id": "1979b7ee-6bbb-4bba-9980-2510dadcef7c", "event_type": "workflow_component_end", "log_level": "INFO", "timestamp": "2026-04-17T18:58:11.901394+08:00", "module_type": "workflow", "module_id": "workflow", "module_name": "workflow", "status": "success", "message": "Questioner LLM extraction completed", "metadata": {"has_response": true, "response_length": 34, "sensitive_mode": false}, "component_type_str": "QuestionerComponent"}
