2026-04-17 18:49:09 | graph | default_trace_id | INFO | {"event_id": "e98e0a99-2ca2-4a52-a7ee-54e5d97cc432", "event_type": "graph_vertex_init", "log_level": "INFO", "timestamp": "2026-04-17T18:49:09.249866+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Initialized node [start], abilities is ['invoke']", "metadata": {}, "graph_id": "weather_flow", "node_id": "start"}
2026-04-17 18:49:09 | graph | default_trace_id | INFO | {"event_id": "ad26c4cd-38b8-4f79-bd8d-d43b6d0b3132", "event_type": "graph_vertex_init", "log_level": "INFO", "timestamp": "2026-04-17T18:49:09.250206+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Initialized node [questioner], abilities is ['invoke']", "metadata": {}, "graph_id": "weather_flow", "node_id": "questioner"}
2026-04-17 18:49:09 | graph | default_trace_id | INFO | {"event_id": "f1da3460-ab34-4a06-bf0d-59f2bb1c6885", "event_type": "graph_vertex_init", "log_level": "INFO", "timestamp": "2026-04-17T18:49:09.250711+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Initialized node [end], abilities is ['invoke']", "metadata": {}, "graph_id": "weather_flow", "node_id": "end"}
2026-04-17 18:49:09 | graph | default_trace_id | INFO | {"event_id": "20af4be4-6a82-41ad-b57d-1a9d618f6aa2", "event_type": "graph_start", "log_level": "INFO", "timestamp": "2026-04-17T18:49:09.251524+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "session_id": "demo-jump-recovery-001", "status": "success", "message": "Pregel graph engine execution started", "metadata": {"is_top_level": true}, "graph_id": "weather_flow"}
2026-04-17 18:49:09 | graph | default_trace_id | INFO | {"event_id": "0399001d-4431-4e95-a820-44d4f095f92b", "event_type": "graph_vertex_call_start", "log_level": "INFO", "timestamp": "2026-04-17T18:49:09.252896+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Begin to call batch-in node [start]", "metadata": {}, "graph_id": "weather_flow", "node_id": "start"}
2026-04-17 18:49:09 | graph | default_trace_id | INFO | {"event_id": "ec428bba-e50c-4639-ab51-dba4536717bb", "event_type": "graph_vertex_ability_start", "log_level": "INFO", "timestamp": "2026-04-17T18:49:09.253182+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Begin to call node [start] ability [invoke]", "metadata": {}, "graph_id": "weather_flow", "node_id": "start"}
2026-04-17 18:49:09 | graph | default_trace_id | INFO | {"event_id": "0d5048ec-46f6-40be-81b2-474232936c65", "event_type": "graph_vertex_ability_end", "log_level": "INFO", "timestamp": "2026-04-17T18:49:09.258370+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Succeed to call node [start] ability [invoke]", "metadata": {}, "graph_id": "weather_flow", "node_id": "start"}
2026-04-17 18:49:09 | graph | default_trace_id | INFO | {"event_id": "f732c227-7823-45a8-90a1-873900eb5a04", "event_type": "graph_vertex_call_end", "log_level": "INFO", "timestamp": "2026-04-17T18:49:09.259834+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Succeed to call batch-in node [start]", "metadata": {}, "graph_id": "weather_flow", "node_id": "start"}
2026-04-17 18:49:09 | graph | default_trace_id | INFO | {"event_id": "722a4ae0-7928-4226-9f71-5c7b6f3f46ed", "event_type": "graph_vertex_call_start", "log_level": "INFO", "timestamp": "2026-04-17T18:49:09.261198+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Begin to call batch-in node [questioner]", "metadata": {}, "graph_id": "weather_flow", "node_id": "questioner"}
2026-04-17 18:49:09 | graph | default_trace_id | INFO | {"event_id": "075ba4a2-30cb-40fd-9304-bef7f2809841", "event_type": "graph_vertex_ability_start", "log_level": "INFO", "timestamp": "2026-04-17T18:49:09.261652+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Begin to call node [questioner] ability [invoke]", "metadata": {}, "graph_id": "weather_flow", "node_id": "questioner"}
2026-04-17 18:53:09 | graph | default_trace_id | INFO | {"event_id": "c4fbfeaf-ad66-4583-9229-d326d9cc0b6a", "event_type": "graph_vertex_ability_end", "log_level": "INFO", "timestamp": "2026-04-17T18:53:09.588309+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Interrupt to call node [questioner] ability [invoke]", "metadata": {}, "graph_id": "weather_flow", "node_id": "questioner"}
